P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11
-0.414385248078585+0i,-1.61559519330894+0i,-1.3512891245428+0i,0.00965669742985596+0.915798437822314i,0.00965669742985596-0.915798437822314i,0.995272447898311+0i,-0.0967030605845314+0.854655159863163i,-0.0967030605845314-0.854655159863163i,1.02716313128631+0i,0+0i,0+0i
-0.198732230878542+0i,-1.95485643481342+0i,-1.81488016036996+0i,-0.0477433784484412+0.350539329530955i,-0.0477433784484412-0.350539329530955i,-2.44316664102822+0i,0.0128219517231208+0.345370856063348i,0.0128219517231208-0.345370856063348i,-2.57077471239982+0i,0+0i,1+0i
-37.2216332206876+0i,-38.3902169566522+0i,-37.3092283204049+0i,-0.00723462882535708+6.02050967691586i,-0.00723462882535708-6.02050967691586i,-37.6219531052485+0i,0.0026400431385547+6.01927964044377i,0.0026400431385547-6.01927964044377i,-37.7999896047027+0i,0+0i,1+0i
-37.0577916596011+0i,-38.145619235896+0i,-37.1488456518176+0i,0.00749404251993047+5.98017296896203i,0.00749404251993047-5.98017296896203i,-29.0389733971783+0i,-0.00374593933287826+5.98559130536104i,-0.00374593933287826-5.98559130536104i,-29.8910408814194+0i,0+0i,0+0i
-36.2336293135902+0i,-37.5774663118748+0i,-36.5165269831718+0i,-0.00284907227566156+5.93789538425063i,-0.00284907227566156-5.93789538425063i,-36.9501954417803+0i,0.00214448119342214+5.93722286585405i,0.00214448119342214-5.93722286585405i,-37.0179935377445+0i,0+0i,1+0i
-36.015091322594+0i,-37.5318527403512+0i,-36.4286945458958+0i,0.00335666601083195+5.91779074928957i,0.00335666601083195-5.91779074928957i,-36.4451957386728+0i,-0.00383637849361418+5.92031502684779i,-0.00383637849361418-5.92031502684779i,-37.037030583361+0i,0+0i,0+0i
-35.9565583886076+0i,-37.4376038501539+0i,-36.3578265916249+0i,-0.00174431745001291+5.91452238574105i,-0.00174431745001291-5.91452238574105i,-36.7506084841642+0i,0.00438008145854529+5.9137850162095i,0.00438008145854529-5.9137850162095i,-36.8730918513091+0i,0+0i,1+0i
-35.6369260054747+0i,-37.1835683860272+0i,-35.9986852291576+0i,-0.00033988383018646+5.88618325837457i,-0.00033988383018646-5.88618325837457i,-35.9806923107708+0i,0.00302518291213305+5.88651830719229i,0.00302518291213305-5.88651830719229i,-36.3682783511423+0i,0+0i,1+0i
-35.3949196768892+0i,-37.0316237536145+0i,-35.9094035439736+0i,-0.00335007545750932+5.86727887682139i,-0.00335007545750932-5.86727887682139i,-36.2471012200149+0i,0.000554212500970208+5.86710474135928i,0.000554212500970208-5.86710474135928i,-36.4548395443325+0i,0+0i,1+0i
-35.1889010033673+0i,-36.85756397514+0i,-35.7343299301258+0i,-0.00786956317680199+5.78814960992728i,-0.00786956317680199-5.78814960992728i,-20.5407514133567+0i,0.000847249828584307+5.7863620432279i,0.000847249828584307-5.7863620432279i,-20.6504348758165+0i,0+0i,1+0i
-35.1108321758445+0i,-36.8438322865296+0i,-35.6001416763537+0i,-6.30679230974041e-05+5.8433312996011i,-6.30679230974041e-05-5.8433312996011i,-36.3303175260698+0i,0.00186367277030275+5.84346426912002i,0.00186367277030275-5.84346426912002i,-36.529209506603+0i,0+0i,1+0i
-34.8698117045337+0i,-36.5869010996622+0i,-35.4329102019277+0i,-0.00461280074107506+5.82297266319941i,-0.00461280074107506-5.82297266319941i,-35.8837161606176+0i,0.00482878871315473+5.82155457758104i,0.00482878871315473-5.82155457758104i,-35.9510920071794+0i,0+0i,1+0i
-34.8378093980465+0i,-36.4346221763391+0i,-35.1802026382217+0i,-0.00676926568696234+5.82104647149164i,-0.00676926568696234-5.82104647149164i,-36.0541562693658+0i,0.00146745564142869+5.81981201836739i,0.00146745564142869-5.81981201836739i,-36.110194746379+0i,0+0i,1+0i
-34.7383890641674+0i,-36.39036953567+0i,-35.1186413079267+0i,-0.00669215482033736+5.80698641225498i,-0.00669215482033736-5.80698641225498i,-33.6921461753804+0i,0.00532321385617185+5.80511196442086i,0.00532321385617185-5.80511196442086i,-33.789238579178+0i,0+0i,1+0i
-34.6104091999493+0i,-36.3726631351236+0i,-34.8796736055099+0i,-0.00104516633414808+5.79978840996425i,-0.00104516633414808-5.79978840996425i,-35.5014831742222+0i,0.00427150743757443+5.79919082044511i,0.00427150743757443-5.79919082044511i,-35.6265703304627+0i,0+0i,1+0i
-34.5198712479979+0i,-36.1280643365401+0i,-34.7582250349128+0i,-0.000115399964916607+5.79087068104277i,-0.000115399964916607-5.79087068104277i,-35.0130106180288+0i,0.00403004941547436+5.79030336720898i,0.00403004941547436-5.79030336720898i,-35.0701820158361+0i,0+0i,1+0i
-34.493689378209+0i,-35.9551059091608+0i,-34.5548455322404+0i,-0.000241224097867643+5.78616891537956i,-0.000241224097867643-5.78616891537956i,-34.0030923644436+0i,0.00601457312887388+5.785137398751i,0.00601457312887388-5.785137398751i,-34.0293522516072+0i,0+0i,1+0i
-34.4813028885952+0i,-35.8426369948294+0i,-34.4303445696524+0i,-0.00861862144090753+5.73309471550315i,-0.00861862144090753-5.73309471550315i,-21.0105495528527+0i,0.00496694478890081+5.72990122782751i,0.00496694478890081-5.72990122782751i,-21.1116231143486+0i,0+0i,1+0i
-34.3128133955325+0i,-35.5950994128728+0i,-34.2894478668202+0i,-0.000396364756737544+5.76924530254532i,-0.000396364756737544-5.76924530254532i,-33.3315996539496+0i,0.00349992970726953+5.76860661667805i,0.00349992970726953-5.76860661667805i,-33.3529958943654+0i,0+0i,1+0i
-34.1221474604681+0i,-35.3498591557428+0i,-34.0275236988139+0i,-0.000159079959015873+5.75553773348105i,-0.000159079959015873-5.75553773348105i,-34.2505940247446+0i,0.00198932663034412+5.75538696412414i,0.00198932663034412-5.75538696412414i,-34.3381078676513+0i,0+0i,1+0i
-33.892178283319+0i,-35.2767668631836+0i,-33.8038898374675+0i,-0.00753590453338637+5.25075790116484i,-0.00753590453338637-5.25075790116484i,-5.28047162137603+0i,0.00492546971153962+5.30290524653277i,0.00492546971153962-5.30290524653277i,-5.93033662144843+0i,0+0i,1+0i
-33.6722874257378+0i,-35.2282711423193+0i,-33.786472110319+0i,-0.00503327366499762+5.71939243088122i,-0.00503327366499762-5.71939243088122i,-34.6928565373854+0i,0.000784390037128935+5.71861373935482i,0.000784390037128935-5.71861373935482i,-34.7773452645475+0i,0+0i,1+0i
-33.4776365090363+0i,-34.987683648321+0i,-33.6660975782809+0i,-0.0041759025947834+5.67473133866716i,-0.0041759025947834-5.67473133866716i,-26.0367923859049+0i,0.00314139573867178+5.67334353445834i,0.00314139573867178-5.67334353445834i,-26.0985243585971+0i,0+0i,1+0i
-33.3628638226732+0i,-34.8610743426392+0i,-33.4570883887282+0i,-0.00695566257173108+5.50174768730766i,-0.00695566257173108-5.50174768730766i,-10.6344943217893+0i,0.0175305368730603+5.48923442743771i,0.0175305368730603-5.48923442743771i,-10.6883558264274+0i,0+0i,1+0i
-33.3477408824559+0i,-34.8230279158383+0i,-33.411460348199+0i,-0.00178541155890954+5.68244318026448i,-0.00178541155890954-5.68244318026448i,-31.4196089577716+0i,0.000528667947603867+5.68276138424957i,0.000528667947603867-5.68276138424957i,-31.6737684094127+0i,0+0i,1+0i
-33.1971688998693+0i,-34.8085526802029+0i,-33.3422500754627+0i,-0.00168161945992096+5.67709600937032i,-0.00168161945992096-5.67709600937032i,-34.1881915752924+0i,0.00373384356387019+5.67645518757096i,0.00373384356387019-5.67645518757096i,-34.3022377497677+0i,0+0i,1+0i
-33.0902963848776+0i,-34.6854754799304+0i,-33.1539865721909+0i,-7.34372088613267e-05+5.65701076866804i,-7.34372088613267e-05-5.65701076866804i,-30.3947266005911+0i,0.00989370847356152+5.65529343389786i,0.00989370847356152-5.65529343389786i,-30.4598325121162+0i,0+0i,1+0i
-32.8865452254513+0i,-34.6006672462824+0i,-33.0868084869782+0i,-0.00520159006419474+5.6485248332031i,-0.00520159006419474-5.6485248332031i,-33.1853837275693+0i,0.00332279778648226+5.64751560732962i,0.00332279778648226-5.64751560732962i,-33.3686532258861+0i,0+0i,1+0i
-32.8498512719814+0i,-34.4330247080231+0i,-32.8586893111592+0i,-0.00106192390577953+5.64412621693789i,-0.00106192390577953-5.64412621693789i,-32.9882591735674+0i,0.00250069841838041+5.64362285414335i,0.00250069841838041-5.64362285414335i,-33.0350873997397+0i,0+0i,1+0i
-32.7713261309859+0i,-34.3886721045568+0i,-32.7742829522859+0i,-0.005146627204067+5.59073329687329i,-0.005146627204067-5.59073329687329i,-21.4085705693837+0i,0.00159918351932864+5.59006896880518i,0.00159918351932864-5.59006896880518i,-21.5941981192423+0i,0+0i,1+0i
-32.6059612265484+0i,-34.3423514268305+0i,-32.6972135795056+0i,-0.00159171939054481+5.62079401125898i,-0.00159171939054481-5.62079401125898i,-32.0966728099932+0i,0.000858772732039603+5.62065477985176i,0.000858772732039603-5.62065477985176i,-32.204646682753+0i,0+0i,1+0i
-32.498311528027+0i,-34.2619022197579+0i,-32.4956333945716+0i,-0.0174580819085854+5.27700878253604i,-0.0174580819085854-5.27700878253604i,-6.74314068464672+0i,0.00825464515680835+5.258152034064i,0.00825464515680835-5.258152034064i,-6.81119314891839+0i,0+0i,1+0i
-32.4711363202709+0i,-34.2229743352181+0i,-32.3168770646723+0i,-4.82849898958415e-05+5.60515077478196i,-4.82849898958415e-05-5.60515077478196i,-30.8214827651939+0i,0.00439984899796197+5.6048407858163i,0.00439984899796197-5.6048407858163i,-30.9940333332086+0i,0+0i,1+0i
-32.2296495360404+0i,-34.0227494427011+0i,-32.2407032737779+0i,-0.00152064767111093+5.58138569582451i,-0.00152064767111093-5.58138569582451i,-29.8127648362145+0i,0.00326871799231521+5.58082328241425i,0.00326871799231521-5.58082328241425i,-29.9251312879547+0i,0+0i,1+0i
-32.1795553895616+0i,-33.9959496502746+0i,-32.1644260132189+0i,-0.00460536342719975+5.58398836507075i,-0.00460536342719975-5.58398836507075i,-31.9275977130011+0i,0.00182156035873382+5.58335651836793i,0.00182156035873382-5.58335651836793i,-32.1143139269685+0i,0+0i,1+0i
-32.084012193747+0i,-33.899283053379+0i,-32.0932383163839+0i,-0.00174295549052406+5.57073688857184i,-0.00174295549052406-5.57073688857184i,-30.4236179433013+0i,0.00790768451709323+5.56962247139745i,0.00790768451709323-5.56962247139745i,-30.6525028449997+0i,0+0i,1+0i
-32.0031587294633+0i,-33.8755349054433+0i,-31.954419183172+0i,-0.00102888164970782+5.56559823217029i,-0.00102888164970782-5.56559823217029i,-31.0893725998712+0i,0.00180853315714913+5.565483701522i,0.00180853315714913-5.565483701522i,-31.2274771420925+0i,0+0i,1+0i
-31.9541128836417+0i,-33.8229619986956+0i,-31.7249751144735+0i,-0.0027635653864998+5.55115998626437i,-0.0027635653864998-5.55115998626437i,-27.9061345967849+0i,0.010016582705026+5.54864321368742i,0.010016582705026-5.54864321368742i,-27.9402229485662+0i,0+0i,1+0i
-31.9289093789565+0i,-33.6859442343538+0i,-31.4714443917492+0i,-0.00388204331463604+5.5538549612886i,-0.00388204331463604-5.5538549612886i,-29.2370996002139+0i,0.000837595480559394+5.55306323553032i,0.000837595480559394-5.55306323553032i,-29.2772547763666+0i,0+0i,1+0i
-31.9147500118529+0i,-33.4613872692756+0i,-31.3131550812163+0i,-0.0314064460774059+5.22583439997456i,-0.0314064460774059-5.22583439997456i,-6.49595436412477+0i,0.0018388094129641+5.20117224550636i,0.0018388094129641-5.20117224550636i,-6.58750955463834+0i,0+0i,1+0i
-31.8834457521467+0i,-33.3918338682958+0i,-31.0753620855382+0i,-0.0121998273142142+5.55585302789431i,-0.0121998273142142-5.55585302789431i,-30.6218575746159+0i,0.000282308273108711+5.55360765357779i,0.000282308273108711-5.55360765357779i,-30.6483087410601+0i,0+0i,1+0i
-31.7549319907247+0i,-33.237285527831+0i,-30.9973746232903+0i,-0.00280584152424468+5.52767432272303i,-0.00280584152424468-5.52767432272303i,-26.3196317172154+0i,0.000948326132298449+5.52692849364186i,0.000948326132298449-5.52692849364186i,-26.337216159537+0i,0+0i,1+0i
-31.5593188577551+0i,-33.142900634169+0i,-30.8428222458942+0i,-0.00437796155436465+5.5242955265922i,-0.00437796155436465-5.5242955265922i,-30.0376674647042+0i,0.000321328070396087+5.5234648177074i,0.000321328070396087-5.5234648177074i,-30.0570556243639+0i,0+0i,1+0i
-31.3851775723705+0i,-33.0847885778824+0i,-30.8111118474117+0i,-0.00096254579810362+5.47714772452256i,-0.00096254579810362-5.47714772452256i,-22.6003554535347+0i,0.00101867018335622+5.47901054809115i,0.00101867018335622-5.47901054809115i,-23.029188973172+0i,0+0i,1+0i
-31.3749918064485+0i,-33.0328437533466+0i,-30.7230913769009+0i,-0.00149481347383251+5.50487816932674i,-0.00149481347383251-5.50487816932674i,-29.1991222210401+0i,0.00471433970127577+5.50445784399266i,0.00471433970127577-5.50445784399266i,-29.4362128075675+0i,0+0i,1+0i
-31.3085073236277+0i,-32.8392394444438+0i,-30.6317044236259+0i,-0.00862112266424375+5.40702719281025i,-0.00862112266424375-5.40702719281025i,-14.8462377663697+0i,0.00250326562038772+5.40319659405743i,0.00250326562038772-5.40319659405743i,-14.8844542354888+0i,0+0i,1+0i
-31.2781635043775+0i,-32.615537305677+0i,-30.5418699370027+0i,-0.00302124467782861+5.50079301062563i,-0.00302124467782861-5.50079301062563i,-30.4965974121028+0i,0.000156047233301759+5.50069821435964i,0.000156047233301759-5.50069821435964i,-30.6599291220639+0i,0+0i,1+0i
-31.2377443452849+0i,-32.4204248880516+0i,-30.5313030309361+0i,-0.00295521658597053+5.13797097497426i,-0.00295521658597053-5.13797097497426i,-6.41727231599228+0i,0.00762438289470302+5.14115098459915i,0.00762438289470302-5.14115098459915i,-6.59850468252911+0i,0+0i,1+0i
-31.1489344456151+0i,-32.3572622567265+0i,-30.3861718867119+0i,-0.00169664065134223+5.47703901191528i,-0.00169664065134223-5.47703901191528i,-26.9712471363726+0i,0.009001845238089+5.47486665641361i,0.009001845238089-5.47486665641361i,-26.9941606086246+0i,0+0i,1+0i
-31.0628471559799+0i,-32.144402599446+0i,-30.2184180590185+0i,-0.00105693587315625+5.45874357695574i,-0.00105693587315625-5.45874357695574i,-24.504388726135+0i,0.011098961517356+5.45677883703145i,0.011098961517356-5.45677883703145i,-24.6852654657836+0i,0+0i,1+0i
-31.0620760726567+0i,-32.0616453993923+0i,-30.0892621703323+0i,-0.000204111690242814+5.47032570872774i,-0.000204111690242814-5.47032570872774i,-27.2934686706648+0i,0.00126542605438207+5.47038492018877i,0.00126542605438207-5.47038492018877i,-27.389353459382+0i,0+0i,1+0i
-30.8820915000848+0i,-31.9920943822027+0i,-29.8333348747768+0i,-0.00473260492449623+5.46231474106757i,-0.00473260492449623-5.46231474106757i,-29.2672915898289+0i,0.00545148644367921+5.46053475946896i,0.00545148644367921-5.46053475946896i,-29.3238354959163+0i,0+0i,1+0i
-30.8579434291298+0i,-31.9388011650629+0i,-29.6261714273739+0i,-0.000301315358867016+5.43459825665732i,-0.000301315358867016-5.43459825665732i,-23.3086646153192+0i,0.0102650051558724+5.43249922030436i,0.0102650051558724-5.43249922030436i,-23.3999738216638+0i,0+0i,1+0i
-30.6128315943438+0i,-31.6922619113077+0i,-29.5436716306445+0i,-0.00341442591329133+5.43829672635642i,-0.00341442591329133-5.43829672635642i,-29.2978276008193+0i,0.00460726844075987+5.43681566534879i,0.00460726844075987-5.43681566534879i,-29.3163525432604+0i,0+0i,1+0i
-30.5029076145829+0i,-31.5250670190633+0i,-29.3989939286248+0i,-0.00104298653230361+5.42605235835233i,-0.00104298653230361-5.42605235835233i,-28.6929589978172+0i,0.00568382520494692+5.42562071414041i,0.00568382520494692-5.42562071414041i,-28.9528058619177+0i,0+0i,1+0i
-30.4948850254814+0i,-31.3225213251834+0i,-29.1604505832345+0i,-0.00147386228522239+5.42682446507325i,-0.00147386228522239-5.42682446507325i,-29.1107570700291+0i,0.00159312669002398+5.42653010185256i,0.00159312669002398-5.42653010185256i,-29.2005403077798+0i,0+0i,1+0i
-30.4071009967+0i,-31.251105871197+0i,-29.1029764984678+0i,-0.00325385066755968+5.4187267952166i,-0.00325385066755968-5.4187267952166i,-28.9224513203682+0i,0.00214144428864704+5.41823797183047i,0.00214144428864704-5.41823797183047i,-29.0888881011451+0i,0+0i,1+0i
-30.3727417376511+0i,-31.2097970286446+0i,-29.0314244775919+0i,-0.00219481447616088+5.40477584236036i,-0.00219481447616088-5.40477584236036i,-26.0429806175037+0i,0.00290499716980197+5.40427913810954i,0.00290499716980197-5.40427913810954i,-26.1887693462418+0i,0+0i,1+0i
-30.1375587223496+0i,-30.9973833204338+0i,-28.8070430833132+0i,-0.00908458844061988+5.38183092798752i,-0.00908458844061988-5.38183092798752i,-25.2179042078289+0i,0.000520955445097226+5.38048359953249i,0.000520955445097226-5.38048359953249i,-25.3957156157181+0i,0+0i,1+0i
-29.8788782780111+0i,-30.866377746097+0i,-28.7269160815026+0i,-0.00658361917079009+5.18696204023994i,-0.00658361917079009-5.18696204023994i,-9.91354443523869+0i,0.00552095173133471+5.18631771467375i,0.00552095173133471-5.18631771467375i,-10.1339282846611+0i,0+0i,1+0i
-29.7755287524608+0i,-30.7460497261108+0i,-28.7197931785505+0i,-0.0107786074219649+5.35825133599064i,-0.0107786074219649-5.35825133599064i,-27.3669711390106+0i,0.00255956024793391+5.35575843455959i,0.00255956024793391-5.35575843455959i,-27.4222759406947+0i,0+0i,1+0i
-29.610250858606+0i,-30.5397533568301+0i,-28.6540973092534+0i,-0.00600012312273968+5.34419972830376i,-0.00600012312273968-5.34419972830376i,-27.8686205220356+0i,0.00523186473422654+5.34233422538943i,0.00523186473422654-5.34233422538943i,-27.9708384462798+0i,0+0i,1+0i
-29.38728963291+0i,-30.3467078610168+0i,-28.542999668095+0i,-0.00362659114831065+5.14304628841148i,-0.00362659114831065-5.14304628841148i,-9.93550659540476+0i,0.00230302968320417+5.15059252298396i,0.00230302968320417-5.15059252298396i,-10.3273675254478+0i,0+0i,1+0i
-29.1458546890219+0i,-30.3138054317687+0i,-28.3161553491418+0i,-0.00264686121998114+5.14354361000339i,-0.00264686121998114-5.14354361000339i,-10.778307371678+0i,0.0112803638254231+5.13804823987564i,0.0112803638254231-5.13804823987564i,-10.8526471385905+0i,0+0i,1+0i
-28.928489205339+0i,-30.2474458282452+0i,-28.1806228340886+0i,-0.00582449774131277+5.27051989929169i,-0.00582449774131277-5.27051989929169i,-24.8605478858134+0i,0.00864349773585371+5.26777819761396i,0.00864349773585371-5.26777819761396i,-24.9621621864493+0i,0+0i,1+0i
-28.8939874705507+0i,-29.9861731364025+0i,-28.156602246378+0i,-0.00406595158622747+5.27567127309808i,-0.00406595158622747-5.27567127309808i,-27.0046249856104+0i,0.00318888619250113+5.27449852614439i,0.00318888619250113-5.27449852614439i,-27.0837490670349+0i,0+0i,1+0i
-28.6623130697095+0i,-29.802569295175+0i,-28.0919287070986+0i,-0.00470623874309606+5.22996041001974i,-0.00470623874309606-5.22996041001974i,-21.6769129975738+0i,0.0143684379349841+5.22562260732318i,0.0143684379349841-5.22562260732318i,-21.7612714336931+0i,0+0i,1+0i
-28.5521616537259+0i,-29.7544321765387+0i,-27.8269127537008+0i,-0.00223649489704125+5.239233030378i,-0.00223649489704125-5.239233030378i,-25.7796165856422+0i,0.00530865545226922+5.23798387659418i,0.00530865545226922-5.23798387659418i,-25.8639287230129+0i,0+0i,1+0i
-28.5306421562946+0i,-29.6449708669508+0i,-27.6372246892058+0i,-0.00682898607547289+4.90655062422732i,-0.00682898607547289-4.90655062422732i,-6.3147935950829+0i,0.0168536774068677+4.91657666114586i,0.0168536774068677-4.91657666114586i,-6.76797268113672+0i,0+0i,1+0i
-28.5141036322418+0i,-29.3952427730837+0i,-27.3980053913397+0i,-0.00209696739693321+5.24401085576026i,-0.00209696739693321-5.24401085576026i,-27.9900780766732+0i,0.0127409037075252+5.24133513997769i,0.0127409037075252-5.24133513997769i,-28.0527381562314+0i,0+0i,1+0i
-28.3619130683765+0i,-29.2374202311113+0i,-27.2120499930907+0i,-0.0370437093555655+4.69319894742506i,-0.0370437093555655-4.69319894742506i,-4.14570451602711+0i,0.015844364057038+4.72819101595437i,0.015844364057038-4.72819101595437i,-4.87200980665308+0i,0+0i,1+0i
-28.1550765129211+0i,-29.0527805025533+0i,-27.1591186088486+0i,-0.00271839294872744+5.20202443842214i,-0.00271839294872744-5.20202443842214i,-25.5957269508561+0i,0.000103334788670417+5.20232351181753i,0.000103334788670417-5.20232351181753i,-25.8142134355168+0i,0+0i,1+0i
-28.0431583271331+0i,-29.0162815337313+0i,-27.0813470403962+0i,-0.0107315925764264+5.18065215992143i,-0.0107315925764264-5.18065215992143i,-22.7938979841036+0i,0.00309918835082001+5.17764799160198i,0.00309918835082001-5.17764799160198i,-22.8457226075033+0i,0+0i,1+0i
-27.8882026432272+0i,-28.9421838038305+0i,-26.937026404734+0i,-0.00400346387433659+5.18050029777802i,-0.00400346387433659-5.18050029777802i,-26.3323980995654+0i,0.00703212199170389+5.17838780158769i,0.00703212199170389-5.17838780158769i,-26.3698548568004+0i,0+0i,1+0i
-27.7924082799772+0i,-28.8286102761152+0i,-26.7352241491926+0i,-0.00184737996029494+5.16411936196169i,-0.00184737996029494-5.16411936196169i,-24.6289345053958+0i,0.0132655751149841+5.16107593554186i,0.0132655751149841-5.16107593554186i,-24.6898261055891+0i,0+0i,1+0i
-27.5797223294656+0i,-28.7110351543762+0i,-26.6041255980065+0i,-0.00484688458760052+4.80530218356671i,-0.00484688458760052-4.80530218356671i,-6.08460052903898+0i,0.00809205483690623+4.80714849848525i,0.00809205483690623-4.80714849848525i,-6.26844105034717+0i,0+0i,1+0i
-27.374010656755+0i,-28.5264979822037+0i,-26.43918128065+0i,-0.00519968193152565+5.12242671162962i,-0.00519968193152565-5.12242671162962i,-23.8729752754445+0i,0.00140702029254836+5.12246687442787i,0.00140702029254836-5.12246687442787i,-24.1999742015316+0i,0+0i,1+0i
-27.1230419146594+0i,-28.3292045244453+0i,-26.2525689218477+0i,-0.0281506547778091+4.67156811050562i,-0.0281506547778091-4.67156811050562i,-4.8306141237886+0i,0.000394690451659629+4.66984392078546i,0.000394690451659629-4.66984392078546i,-5.10656460339883+0i,0+0i,1+0i
-26.9281336272923+0i,-28.1664037586018+0i,-26.0978578846293+0i,-0.0109112106988269+5.0917595253843i,-0.0109112106988269-5.0917595253843i,-26.2879336029367+0i,0.00176521338057734+5.08935663009575i,0.00176521338057734-5.08935663009575i,-26.3235323900145+0i,0+0i,1+0i
-26.7929622952271+0i,-27.9764465256585+0i,-25.9121321390767+0i,-0.000692795760214526+5.06799311428041i,-0.000692795760214526-5.06799311428041i,-24.1389882023638+0i,0.00457566773361684+5.06938309719325i,0.00457566773361684-5.06938309719325i,-24.7082548783981+0i,0+0i,1+0i
-26.7308140637507+0i,-27.8986960989013+0i,-25.7327903315195+0i,-0.00131340751067488+5.05112813449253i,-0.00131340751067488-5.05112813449253i,-21.9083135358288+0i,0.00712900601666233+5.05056563676134i,0.00712900601666233-5.05056563676134i,-22.1765511093758+0i,0+0i,1+0i
