P_1,P_2,P_3,P_4,P_5,P_6,P_7
-0.414385248078585+0i,-1.61559519330894+0i,-1.3512891245428+0i,0.017709429564887+0.484045482650694i,0.017709429564887-0.484045482650694i,-2.38670798367258+0i,0+0i
-0.198732230878542+0i,-1.95485643481342+0i,-1.81488016036996+0i,0.0120273963499972+0.356232073172797i,0.0120273963499972-0.356232073172797i,-2.83893495306995+0i,0+0i
-37.2216332206876+0i,-38.3902169566522+0i,-37.3092283204049+0i,0.00139306632646297+6.02058012140638i,0.00139306632646297-6.02058012140638i,-38.3120144530579+0i,0+0i
-37.0577916596011+0i,-38.145619235896+0i,-37.1488456518176+0i,0.000324507432145182+6.00714387702853i,0.000324507432145182-6.00714387702853i,-38.1494946666819+0i,0+0i
-36.2336293135902+0i,-37.5774663118748+0i,-36.5165269831718+0i,0.00123683485436188+5.93847607307999i,0.00123683485436188-5.93847607307999i,-37.5190006528805+0i,0+0i
-36.015091322594+0i,-37.5318527403512+0i,-36.4286945458958+0i,0.00183646736303356+5.92025475785669i,0.00183646736303356-5.92025475785669i,-37.4323674806219+0i,0+0i
-35.9565583886076+0i,-37.4376038501539+0i,-36.3578265916249+0i,0.00153125531035836+5.91533573899326i,0.00153125531035836-5.91533573899326i,-37.3608891022456+0i,0+0i
-35.6369260054747+0i,-37.1835683860272+0i,-35.9986852291576+0i,0.00292145179454861+5.88797488139718i,0.00292145179454861-5.88797488139718i,-37.0045281327467+0i,0+0i
-35.3949196768892+0i,-37.0316237536145+0i,-35.9094035439736+0i,0.00215676840704671+5.86787214356034i,0.00215676840704671-5.86787214356034i,-36.9137170807877+0i,0+0i
-35.1889010033673+0i,-36.85756397514+0i,-35.7343299301258+0i,0.00219408623173745+5.8503741739704i,0.00219408623173745-5.8503741739704i,-36.7387181025893+0i,0+0i
-35.1108321758445+0i,-36.8438322865296+0i,-35.6001416763537+0i,0.00378765659338742+5.84332457943033i,0.00378765659338742-5.84332457943033i,-36.6077169895404+0i,0+0i
-34.8698117045337+0i,-36.5869010996622+0i,-35.4329102019277+0i,0.00263447046858023+5.82304082761971i,0.00263447046858023-5.82304082761971i,-36.4381791428648+0i,0+0i
-34.8378093980465+0i,-36.4346221763391+0i,-35.1802026382217+0i,0.00392632062441645+5.81958299704868i,0.00392632062441645-5.81958299704868i,-36.1880552794706+0i,0+0i
-34.7383890641674+0i,-36.39036953567+0i,-35.1186413079267+0i,0.00418141345346945+5.81109002119667i,0.00418141345346945-5.81109002119667i,-36.1270041348337+0i,0+0i
-34.6104091999493+0i,-36.3726631351236+0i,-34.8796736055099+0i,0.0071727567558475+5.79933499275193i,0.0071727567558475-5.79933499275193i,-35.8940191190216+0i,0+0i
-34.5198712479979+0i,-36.1280643365401+0i,-34.7582250349128+0i,0.00550939881602419+5.79172993604999i,0.00550939881602419-5.79172993604999i,-35.7692438325448+0i,0+0i
