P_1,P_2,P_3,P_4,P_5,P_6,P_7
-0.738352307656853+0i,-2.79578725660671+0i,0.704080505078974+0i,-1.33639918323568+0.273591409469055i,-1.33639918323568-0.273591409469055i,1.64878645776479+0i,-0.98132516758749+0i
-0.890772655524926+0i,-3.19995349415851+0i,0.891844137301744+0i,-1.47804862616586+0.554136415365691i,-1.47804862616586-0.554136415365691i,1.89073354731629+0i,-0.70080006657631+0i
-1.2350468956896+0i,-2.94589946066419+0i,0.878372986956871+0i,-1.6477034129141+0.894338123110856i,-1.6477034129141-0.894338123110856i,1.80162952249872+0i,-0.544822846207627+0i
-0.618625564042843+0i,-2.32947812901742+0i,1.49479431860363+0i,-1.18658633724054+0.470525546457213i,-1.18658633724054-0.470525546457213i,2.18066738507591+0i,-0.544822846207627+0i
-1.0984884879311+0i,-4.05400209107505+0i,0.517659656916507+0i,-1.78269288687386+0.624452477848877i,-1.78269288687386-0.624452477848877i,1.80147552807795+0i,0+0i
-0.936803075768518+0i,-4.66608835011301+0i,0.729333928419132+0i,-1.73340369462512+0.352019761850271i,-1.73340369462512-0.352019761850271i,2.10320439593944+0i,0+0i
-1.40501248217983+0i,-5.0558699641154+0i,0.647744306369268+0i,-2.04657411681735+0.832441863638206i,-2.04657411681735-0.832441863638206i,2.10171131079417+0i,0+0i
-0.788591150533066+0i,-4.43944863246864+0i,1.26416563801603+0i,-1.56030466464069+0.314508702528178i,-1.56030466464069-0.314508702528178i,2.46475195834217+0i,0+0i
-1.21630995197369+0i,-4.97089921854848+0i,0.71608377450327+0i,-1.92285273666182+0.689403406409108i,-1.92285273666182-0.689403406409108i,2.14276097052428+0i,0+0i
-1.76552739867591+0i,-5.144303957533+0i,0.998602179820809+0i,-2.21320675917249+1.09394646910253i,-2.21320675917249-1.09394646910253i,2.36523373304388+0i,0+0i
-1.14910606702915+0i,-4.52788262588624+0i,1.61502351146757+0i,-1.73316271817512+0.82345448199122i,-1.73316271817512-0.82345448199122i,2.74072520295047+0i,0+0i
-2.26683463545191+0i,-5.19161426373605+0i,1.25721357453954+0i,-2.47239060401378+1.29252154300504i,-2.47239060401378-1.29252154300504i,2.55735437453987+0i,0+0i
-1.65041330380515+0i,-4.57519293208929+0i,1.8736349061863+0i,-1.99706088793764+1.13268153210106i,-1.99706088793764-1.13268153210106i,2.9422744942889+0i,0+0i
-1.03399197215839+0i,-3.95877160044253+0i,2.49005623783306+0i,-1.53525167972219+0.854322907739882i,-1.53525167972219-0.854322907739882i,3.35423562975932+0i,0+0i
-1.83296201834615+0i,-5.04927454434766+0i,1.33380640941596+0i,-2.20243919613576+1.15715404095747i,-2.20243919613576-1.15715404095747i,2.60022911361698+0i,0+0i
-1.21654068669938+0i,-4.4328532127009+0i,1.95022774106272+0i,-1.7292758115718+0.913064367297811i,-1.7292758115718-0.913064367297811i,2.98948189639036+0i,0+0i
-0.600119355052623+0i,-3.81643188105414+0i,2.56664907270948+0i,-1.26933275406344+0.391869143338438i,-1.26933275406344-0.391869143338438i,3.40517533327497+0i,0+0i
-12.6722377465172+0i,0.934276063629866+0i,3.38942000625346+0i,-0.338053945652425+3.5816023203582i,-0.338053945652425-3.5816023203582i,3.278357226379+0i,-2.51232863595425+0i
-11.7765182618606+0i,1.82999554828642+0i,3.38942000625346+0i,-0.288617559902182+3.52604785064427i,-0.288617559902182-3.52604785064427i,3.16444091004102+0i,-2.51232863595425+0i
-10.8807987772041+0i,2.72571503294298+0i,3.38942000625346+0i,-0.234959726177112+3.4681506683816i,-0.234959726177112-3.4681506683816i,3.04208169775339+0i,-2.51232863595425+0i
-9.98507929254751+0i,3.62143451759954+0i,3.38942000625346+0i,-0.176358202095565+3.40779118764448i,-0.176358202095565-3.40779118764448i,2.90983510475281+0i,-2.51232863595425+0i
-9.08935980789095+0i,4.5171540022561+0i,3.38942000625346+0i,-0.111890980022545+3.34488869878471i,-0.111890980022545-3.34488869878471i,2.76585711576928+0i,-2.51232863595425+0i
-8.1936403232344+0i,5.41287348691266+0i,3.38942000625346+0i,-0.0403631161367297+3.2794498028347i,-0.0403631161367297-3.2794498028347i,2.60775784316016+0i,-2.51232863595425+0i
-8.1936403232344+0i,5.41287348691266+0i,3.38942000625346+0i,-0.0939324637241046+3.27895487975083i,-0.0939324637241046-3.27895487975083i,2.59253900310547+0i,-2.51232863595425+0i
-8.1936403232344+0i,5.41287348691266+0i,3.38942000625346+0i,-0.0866733921356839+3.28655906935398i,-0.0866733921356839-3.28655906935398i,2.58983257426572+0i,-2.51232863595425+0i
-8.1936403232344+0i,5.41287348691266+0i,3.38942000625346+0i,-0.0483549451152056+3.33458314843013i,-0.0483549451152056-3.33458314843013i,2.52762079872013+0i,-2.51232863595425+0i
-11.4981702302851+0i,1.89849175138436+0i,3.76088242437566+0i,-0.582342026293093+3.49568178481349i,-0.582342026293093-3.49568178481349i,3.50552242375545+0i,-2.45507396689594+0i
-10.6024507456285+0i,2.79421123604092+0i,3.76088242437566+0i,-0.499413768263332+3.41839848717202i,-0.499413768263332-3.41839848717202i,3.37238777868372+0i,-2.45507396689594+0i
